SrcAddr,DstAddr,SrcMac,DstMac,Sport,Dport,State,Proto,SrcRate,DstRate,class
222.110.86.57,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8461.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.65,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,8031.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5744.0,80.0,sER,tcp,0.0,0.0,4
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,8428.0,52330.0,E,tcp,0.0,0.0,2
222.90.237.249,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8527.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,1580.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,56112.0,8043.0,REQ,udp,42.676144,0.0,5
222.224.154.169,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,6694.0,554.0,s,tcp,0.0,0.0,1
192.168.0.14,239.255.255.250,a8:66:7f:0e:3f:54,bc:1c:81:4b:ae:ba,56359,1900,INT,udp,4.907428,0.0,0
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,902.0,s,tcp,0.0,0.0,7
222.64.182.219,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,5360.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,1244.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51564.0,8000.0,sE,tcp,7.652378,0.0,8
222.159.254.80,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,5285.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,60066.0,8011.0,REQ,udp,32.744492,0.0,5
192.168.0.13,192.168.0.16,bc:1c:81:4b:ae:ba,48:4b:aa:2c:d8:f9,9020,49784,Ef,tcp,390.796692,150.07398999999995,0
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,4879.0,80.0,E,tcp,1.173867,0.0,4
222.250.241.163,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8629.0,554.0,s,tcp,0.0,0.0,1
192.168.0.23,13.209.102.114,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,48496,443,sSEfF,tcp,0.0,329.489288,0
222.158.193.111,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,2376.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,7496.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,1024.0,s,tcp,0.0,0.0,7
222.25.252.73,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,3970.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,56106.0,80.0,s,tcp,0.0,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,1247.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.85,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,2574.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5348.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,1315.0,52330.0,E,tcp,0.394827,0.0,2
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,5910.0,s,tcp,0.0,0.0,7
192.168.0.13,192.168.0.24,bc:1c:81:4b:ae:ba,04:32:f4:45:17:b3,11397.0,23.0,sER,tcp,45.478466,0.0,3
192.168.0.23,52.78.5.97,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,50872,443,Ef,tcp,0.0,0.0,0
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,4255.0,52330.0,E,tcp,1.577145,0.0,2
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,1183.0,s,tcp,0.0,0.0,7
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,55984.0,8043.0,REQ,udp,42.874912,0.0,5
192.168.0.15,192.168.0.5,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,3.249327,0.0,9
222.43.123.79,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,5992.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51633.0,554.0,sEf,tcp,11.473328,0.0,8
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,9917.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,3301.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,32776.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,51997.0,8899.0,REQ,udp,239.445724,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5507.0,80.0,sER,tcp,0.426436,0.0,4
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,42167.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.15,192.168.0.224,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,60140.0,8899.0,INT,udp,1061.102417,0.0,5
222.183.159.126,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,6092.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5852.0,80.0,sE,tcp,12.983641,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,3052.0,s,tcp,0.0,0.0,7
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,1268.0,52330.0,E,tcp,0.26410900000000004,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,32329.0,7777.0,E,tcp,0.0,0.0,2
222.26.33.27,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,6860.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,4130.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.15,192.168.0.244,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,5699.0,80.0,sER,tcp,2.925131,0.0,4
192.168.0.14,192.168.0.1,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,53223,80,SEfC,tcp,0.0,784.4738769999999,0
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,64780.0,9988.0,REQ,udp,782.600403,0.0,5
13.228.233.32,192.168.0.13,88:36:6c:d7:1c:56,bc:1c:81:4b:ae:ba,6000,47501,CON,udp,0.0,0.0,0
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,5203.0,80.0,sE,tcp,390.625,0.0,4
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,55066.0,80.0,sE,tcp,124.859535,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,7496.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,49438.0,8011.0,REQ,udp,31.822868,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,49438.0,8011.0,REQ,udp,32.07021,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5318.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,4377.0,52330.0,E,tcp,0.0,0.0,2
172.217.25.99,192.168.0.14,88:36:6c:d7:1c:56,a8:66:7f:0e:3f:54,443,54028,REQ,udp,220.070419,0.0,0
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,13179.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.15,192.168.0.71,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,3.364353,0.0,9
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,1108.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51792.0,8200.0,sE,tcp,316.856781,0.0,8
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,2787.0,52330.0,E,tcp,0.494309,0.0,2
222.0.127.250,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,4177.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,4710.0,52330.0,E,tcp,4366.8125,0.0,2
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,60077.0,8899.0,INT,udp,126.619965,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,5019.0,80.0,R,tcp,0.0,0.0,4
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,6096.0,80.0,R,tcp,0.0,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,7625.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,60126.0,8899.0,INT,udp,1029.577148,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,64775.0,9988.0,REQ,udp,2440.759277,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,6129.0,80.0,sR,tcp,0.0,0.0,4
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,8601.0,52330.0,E,tcp,0.22521,0.0,2
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,7153.0,52330.0,E,tcp,2.61401,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5853.0,80.0,ER,tcp,0.0,0.0,4
192.168.0.1,192.168.0.13,88:36:6c:d7:1c:56,bc:1c:81:4b:ae:ba,,,CON,arp,0.0,0.0,0
192.168.0.13,192.168.0.16,bc:1c:81:4b:ae:ba,f0:18:98:5e:ff:9f,,,RSP,arp,0.0,0.499444,6
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,5061.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,8402.0,s,tcp,0.0,0.0,7
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,1912.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,6123.0,80.0,sE,tcp,1.466375,0.0,4
192.168.0.15,192.168.0.179,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,9.512334,0.0,9
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,55109.0,80.0,sE,tcp,233.881668,0.0,4
222.246.78.123,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,3434.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,7751.0,52330.0,E,tcp,0.711749,0.0,2
192.168.0.13,192.168.0.24,bc:1c:81:4b:ae:ba,04:32:f4:45:17:b3,5671.0,23.0,sEf,tcp,0.0,0.0,3
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,3328.0,52330.0,E,tcp,0.794402,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5849.0,80.0,sER,tcp,0.0,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51774.0,8200.0,sEf,tcp,0.0,0.0,8
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,55916.0,1272.0,s,tcp,0.0,0.0,7
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,6078.0,80.0,sER,tcp,0.0,0.0,4
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,55983.0,8043.0,REQ,udp,42.607044,0.0,5
192.168.0.13,192.168.0.16,bc:1c:81:4b:ae:ba,f0:18:98:5e:ff:9f,,,RSP,arp,0.0,0.499831,6
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,6566.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5825.0,80.0,sER,tcp,0.0,0.0,4
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,14441.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.15,192.168.0.31,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,99.740669,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,51997.0,8899.0,REQ,udp,173.706909,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,4818.0,52330.0,E,tcp,0.874026,0.0,2
222.125.158.27,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,7677.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.24,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,1.099076,0.0,9
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51586.0,8200.0,sEf,tcp,0.0,0.0,8
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,5155.0,80.0,R,tcp,0.0,0.0,4
192.168.0.15,192.168.0.84,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,9.761812,0.0,9
222.128.183.206,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8409.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,6007.0,80.0,sE,tcp,761.035034,0.0,4
192.168.0.23,224.0.0.251,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,5353,5353,REQ,udp,15.290442,0.0,0
192.168.0.15,192.168.0.76,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,9.633602,0.0,9
192.168.0.24,192.168.0.13,04:32:f4:45:17:b3,bc:1c:81:4b:ae:ba,5752.0,23.0,R,tcp,0.0,0.0,3
192.168.0.15,192.168.0.251,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,1.6229870000000002,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,7049.0,52330.0,E,tcp,0.4722310000000001,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,6119.0,80.0,R,tcp,0.0,0.0,4
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51779.0,554.0,sEf,tcp,0.0,0.0,8
192.168.0.15,192.168.0.116,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,9.691675,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,60193.0,8899.0,INT,udp,379.014679,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5722.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5593.0,80.0,ER,tcp,0.322789,0.0,4
223.39.123.194,192.168.0.24,88:36:6c:d7:1c:56,04:32:f4:45:17:b3,8281,47192,E,tcp,1.500889,1.000593,0
192.168.0.24,192.168.0.189,04:32:f4:45:17:b3,Broadcast,,,INT,arp,0.0,0.0,6
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,3653.0,52330.0,E,tcp,0.0,0.0,2
222.47.198.195,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,6610.0,554.0,s,tcp,0.0,0.0,1
222.15.11.107,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8962.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,6188.0,80.0,R,tcp,0.0,0.0,4
192.168.0.13,192.168.0.16,bc:1c:81:4b:ae:ba,f0:18:98:5e:ff:9f,,,RSP,arp,0.0,1.497761,6
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,301.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,52848.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,1972.0,s,tcp,0.0,0.0,7
222.80.31.208,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,7973.0,554.0,s,tcp,0.0,0.0,1
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,64780.0,9988.0,REQ,udp,70.30722,0.0,5
172.217.161.74,192.168.0.23,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,443,55080,fR,tcp,0.0,0.0,0
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,9040.0,s,tcp,0.0,0.0,7
222.244.0.230,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8661.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.188,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,60227.0,8899.0,INT,udp,1037.015991,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,60175.0,8899.0,INT,udp,267.004669,0.0,5
222.36.8.243,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,5674.0,554.0,s,tcp,0.0,0.0,1
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,52143.0,9998.0,s,tcp,0.0,0.0,7
192.168.0.15,192.168.0.78,f0:18:98:5e:ff:9f,Broadcast,,,INT,arp,0.0,0.0,9
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,2702.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5819.0,80.0,sE,tcp,361.925446,0.0,4
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,7821.0,52330.0,E,tcp,0.6008640000000001,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,64780.0,9988.0,REQ,udp,1032.837769,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,54341.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,8378.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,1201.0,52330.0,E,tcp,0.0,0.0,2
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,51960.0,8200.0,sE,tcp,411.635559,0.0,8
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,56110.0,8043.0,REQ,udp,42.116764,0.0,5
192.168.0.14,192.168.0.1,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,53212,80,SEfC,tcp,0.0,748.876709,0
192.168.0.15,192.168.0.13,f0:18:98:5e:ff:9f,bc:1c:81:4b:ae:ba,57929.0,8800.0,s,tcp,0.0,0.0,7
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,48373.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.13,192.168.0.24,bc:1c:81:4b:ae:ba,04:32:f4:45:17:b3,5835.0,23.0,sER,tcp,0.0,0.0,3
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,5354.0,80.0,sER,tcp,1.7756009999999998,0.0,4
222.253.37.117,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,1036.0,554.0,s,tcp,0.0,0.0,1
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,60162.0,8899.0,INT,udp,945.5047,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,55983.0,8043.0,REQ,udp,43.096504,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,43226.0,7777.0,E,tcp,0.0,0.0,2
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,60130.0,8899.0,REQ,udp,904.163025,0.0,5
192.168.0.13,210.89.164.90,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,62743.0,8043.0,REQ,udp,42.351662,0.0,5
192.168.0.24,210.89.164.90,04:32:f4:45:17:b3,88:36:6c:d7:1c:56,59885.0,7777.0,E,tcp,0.0,0.0,2
222.47.59.132,192.168.0.13,88:36:6c:f2:ce:a7,bc:1c:81:4b:ae:ba,8804.0,554.0,s,tcp,258.732208,0.0,1
192.168.0.13,192.168.0.24,bc:1c:81:4b:ae:ba,04:32:f4:45:17:b3,5660.0,23.0,sEf,tcp,0.0,0.0,3
