SrcAddr,DstAddr,Sport,Dport,Proto,State,SrcRate,DstRate
192.168.0.23,13.209.102.114,48500,443,tcp,CON,98.353561,177.036407
192.168.0.23,223.39.118.176,37448,443,tcp,CLO,0,75.584839
192.168.0.23,223.39.118.176,37446,443,tcp,CLO,0.554946,3.329676
192.168.0.23,223.39.118.176,37438,443,tcp,CLO,0,69.228104
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,0.273034,0.546067
192.168.0.24,223.39.123.193,58382,8100,tcp,FIN,9.315565,7.904116
223.39.118.176,192.168.0.24,443,58021,tcp,RST,0,0
192.168.0.24,223.39.123.191,53216,443,tcp,RST,167.672714,0
192.168.0.24,223.39.123.191,51165,443,tcp,RST,136.332642,0
192.168.0.24,223.39.123.191,43911,443,tcp,CON,32.664528,28.581461
192.168.0.24,223.39.123.191,,,unas,INT,0,0
223.39.118.176,192.168.0.24,443,54731,tcp,RST,0,0
223.39.118.176,192.168.0.24,443,40089,tcp,RST,0,0
223.39.118.176,192.168.0.24,443,33157,tcp,RST,0,0
192.168.0.14,192.168.0.1,53170,80,tcp,FIN,0,1045.171387
192.168.0.23,163.152.1.1,1447,53,udp,CON,0,0
192.168.0.23,14.129.200.42,53642,443,tcp,FIN,21.091373,84.365494
192.168.0.23,14.129.200.42,53648,443,tcp,FIN,17.799692,62.29892
192.168.0.23,14.129.200.42,53644,443,tcp,FIN,29.109821,77.62619
192.168.0.23,14.129.200.42,53646,443,tcp,FIN,1.512098,5.745971
192.168.0.23,163.152.1.1,63401,53,udp,CON,0,0
192.168.0.23,104.76.84.32,49360,443,tcp,CON,130.613098,953.475586
192.168.0.23,104.76.84.32,49362,443,tcp,CON,67.249496,562.450317
192.168.0.23,104.76.84.32,49366,443,tcp,CON,118.323189,625.422546
192.168.0.23,104.76.84.32,49364,443,tcp,CLO,76.866173,547.671448
192.168.0.23,23.23.130.219,33156,443,tcp,RST,20.411392,10.205696
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
223.39.118.176,192.168.0.24,443,51846,tcp,RST,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,390.796692,150.07399
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.24,223.39.118.176,33782,443,tcp,FIN,29.15027,29.15027
192.168.0.24,223.39.118.176,53177,443,tcp,FIN,29.433405,29.433405
192.168.0.24,223.39.118.176,47527,443,tcp,FIN,26.646061,26.646061
192.168.0.24,223.39.118.176,53692,443,tcp,CON,42.033985,34.391445
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,0,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,40.723244,40.723244
13.228.233.32,192.168.0.13,6000,47501,udp,INT,0,0
192.168.0.14,192.168.0.1,53171,80,tcp,FIN,0,725.689392
216.58.197.206,192.168.0.14,443,60605,udp,REQ,0,0
192.168.0.13,224.0.0.251,5353,5353,udp,INT,3.223968,0
192.168.0.24,223.39.123.245,54218,7000,tcp,FIN,74.516479,113.042007
192.168.0.1,192.168.0.23,,,arp,CON,0,0
192.168.0.24,223.39.123.191,43911,443,tcp,FIN,26.726534,26.726534
172.217.161.74,192.168.0.23,443,55080,tcp,RST,0,0
123.68.46.246,55.245.48.178,43292,35568,tcp,CON,0,0
48:4b:aa:2c:d8:f9,bc:d0:be:4b:ae:ba,,,unknown,INT,0,0
236.61.197.236,110.57.205.8,12611,12646,tcp,CON,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.13,192.168.0.16,9020,34130,tcp,RST,0,0
198.168.0.13,192.168.0.16,,,unas,INT,0,0
192.168.230.69,165.166.0.16,9020,49784,tcp,CON,0,0
192.168.0.13,192.168.0.16,9020,49783,tcp,CON,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,589.066284,143.064667
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
192.168.0.24,223.39.118.176,38612,443,tcp,FIN,30.337963,30.337963
192.168.0.23,224.0.0.251,5353,5353,udp,REQ,2987.303955,0
192.168.0.24,223.39.118.176,36294,443,tcp,CON,30.16831,24.683163
192.168.0.14,192.168.0.1,53172,80,tcp,FIN,0,571.311096
192.168.0.23,163.152.1.1,38614,53,udp,CON,0,0
192.168.0.23,211.188.204.21,50250,443,tcp,RST,35.802086,53.703129
192.168.0.16,224.0.0.251,5353,5353,udp,INT,2515.723389,0
fe80::df:76c6:92ef:4d18,ff02::fb,5353,5353,udp,INT,2588.996826,0
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,7.006629,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,0,645.161255
192.168.0.23,163.152.1.1,59251,53,udp,CON,0,0
192.168.0.23,163.152.11.6,40631,53,udp,CON,0,0
192.168.0.1,192.168.0.13,,,arp,CON,0,0
192.232.0.23,211.188.204.21,50252,443,tcp,REQ,0,0
192.168.0.23,223.39.118.176,37438,443,tcp,FIN,0,13513.5127
192.168.0.23,211.188.204.21,50252,443,tcp,RST,22.635187,75.450623
192.168.0.151,95.39.126.180,37566,443,tcp,FIN,0,0
192.168.0.23,223.39.118.176,37448,443,tcp,FIN,0.965041,1.930083
192.168.0.23,211.188.204.21,50254,443,tcp,RST,77.581238,77.581238
192.168.0.13,192.168.0.16,9020,49764,tcp,RST,0,0
192.168.0.13,192.168.0.16,9020,49675,tcp,CON,0,0
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
192.168.0.23,223.39.118.176,37446,443,tcp,FIN,2.501595,5.00319
198.252.206.25,192.168.0.14,443,52650,tcp,CON,0,0
172.217.31.136,192.168.0.23,443,50318,tcp,CON,10.44212,10.44212
192.168.0.14,192.168.0.1,53173,80,tcp,FIN,0,636.337341
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,347.615448,188.208359
192.168.0.1,192.168.0.24,,,arp,CON,0,0
192.168.0.24,223.39.118.176,53692,443,tcp,FIN,28.53474,85.604218
114.57.69.27,71.145.82.201,9020,49784,tcp,CON,0,0
172.217.25.99,192.168.0.14,443,49191,udp,INT,74.47773,0
192.168.0.23,224.0.0.251,5353,5353,udp,REQ,15.290442,0
fe80::8bce:5cb5:dc08:7a4e,ff02::fb,5353,5353,udp,INT,15.29013,0
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,3773.584717,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
48:4b:aa:2c:d8:f9,bc:1c:f1:2f:ad:ba,,,unknown,INT,0,0
192.168.0.14,192.168.0.1,53174,80,tcp,FIN,0,817.383728
192.168.0.24,223.39.118.149,35253,443,tcp,FIN,36.349094,42.40728
192.168.0.24,223.39.118.176,38322,443,tcp,CON,25.462078,16.20314
192.168.0.24,223.39.118.176,35410,443,tcp,CON,27.82197,32.880512
192.168.0.24,223.39.118.149,53761,443,tcp,FIN,50.764854,59.225666
192.168.0.24,223.39.118.176,34007,443,tcp,CON,37.960224,34.509293
192.168.0.24,223.39.118.176,60498,443,tcp,FIN,52.057766,37.18412
192.168.0.13,3.0.230.212,33397,8820,tcp,CON,10.040665,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,325.066895,174.035812
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,31.282137,0
192.168.0.13,224.0.0.251,5353,5353,udp,REQ,1936.108521,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,13.747972,0
192.168.0.23,223.39.118.176,37472,443,tcp,CLO,0,67.4021
fe80::10cc:207d:e8e8:1062,ff02::fb,5353,5353,udp,INT,602.014038,0
192.168.0.14,224.0.0.251,5353,5353,udp,INT,601.454407,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,ip,INT,0,0
192.168.0.16,163.152.1.1,49974,53,udp,CON,0,0
192.168.0.16,13.228.245.106,57213,80,tcp,CON,2.677618,4.462696
192.168.0.24,223.39.118.176,36294,443,tcp,FIN,0,0
192.168.0.24,223.167.64.130,36038,443,tcp,CON,0,0
192.168.0.16,172.217.25.110,57196,443,tcp,FIN,53.085598,0
192.168.0.16,172.217.161.42,57197,443,tcp,FIN,52.725929,0
192.168.0.14,192.168.0.1,53175,80,tcp,FIN,0,756.177734
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
fe80::8bce:5cb5:dc08:7a4e,ff02::2,133,0,ipv6-icmp,NRS,41.72839,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,315.227325,154.911713
192.168.0.24,223.39.118.176,37092,443,tcp,CON,40.831326,37.119385
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,0,0
223.39.118.176,192.168.0.23,443,37434,tcp,CON,0,526.870361
192.168.0.1,192.168.0.16,,,arp,CON,0,0
192.168.0.14,192.168.0.1,53176,80,tcp,FIN,0,840.868164
192.168.0.1,224.0.0.1,,,igmp,INT,27.018993,0
192.168.0.13,224.0.0.251,,,igmp,REQ,0,0
192.168.0.13,239.255.255.250,,,igmp,REQ,0,0
192.168.0.16,224.0.0.251,,,igmp,INT,0,0
192.168.0.23,224.0.0.251,,,igmp,INT,0,0
12.57.236.10,25.78.168.225,,,cpnx,INT,0,0
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
17.252.141.84,192.168.0.16,5223,49768,tcp,CON,3.381554,3.381554
172.217.26.37,192.168.0.14,443,53122,tcp,CON,0,0
172.217.25.99,192.168.0.14,443,49191,udp,REQ,164.975662,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,276.139893,156.879471
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,0,1011.122375
192.168.0.24,223.39.118.176,35410,443,tcp,FIN,28.265356,28.265356
192.168.0.24,223.39.118.176,38322,443,tcp,FIN,27.989252,27.989252
192.168.0.24,223.39.118.176,34007,443,tcp,FIN,30.691793,30.691793
192.168.0.24,223.39.118.176,60498,443,tcp,FIN,28.802671,28.802671
192.168.0.16,163.152.1.1,61307,53,udp,CON,0,0
192.168.0.16,50.16.236.62,57214,443,tcp,RST,11.753885,9.794905
192.168.0.23,223.39.118.176,37472,443,tcp,FIN,92.618324,185.236649
223.39.118.176,192.168.0.23,443,37434,tcp,CON,2.429229,1.619486
192.168.0.16,163.152.1.1,50844,53,udp,CON,0,0
192.168.0.16,23.23.161.173,57215,443,tcp,CON,6.978696,5.81558
192.168.0.16,203.217.239.46,49786,5223,tcp,FIN,25.151432,16.767622
192.168.0.23,224.0.0.251,5353,5353,udp,REQ,174.497223,0
192.168.0.24,223.39.123.191,57210,443,tcp,CON,136.443726,62.202282
192.168.0.14,192.168.0.1,53177,80,tcp,FIN,0,825.833801
192.168.0.16,210.103.251.72,49787,5223,tcp,CON,17.417526,10.885954
13.228.233.32,192.168.0.13,6000,47501,udp,CON,0,0
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.1,239.255.255.250,42360,1900,udp,INT,290.033539,0
54.180.73.158,192.168.0.23,9673,35789,tcp,RST,0,0
17.252.141.84,192.168.0.16,5223,49768,tcp,CON,1.176808,2.353617
229.252.204.14,192.168.0.16,,,unas,INT,0,0
192.168.0.14,192.168.0.1,53178,80,tcp,FIN,0,711.514893
192.168.0.13,192.168.0.16,9020,49784,tcp,RST,245.091797,121.744942
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,0.295283,0.295283
192.168.0.24,223.39.118.176,37092,443,tcp,FIN,46.138229,46.138229
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,1.052389,0.526195
223.39.118.176,192.168.0.23,443,37434,tcp,CON,0.819697,0.546464
192.168.0.16,192.40.44.76,49784,9020,tcp,CON,0,0
192.168.0.24,223.39.123.191,57210,443,tcp,RST,223.064911,334.597382
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
163.152.1.1,192.168.0.23,53,58846,udp,INT,0,0
192.168.0.23,54.180.57.16,55372,443,tcp,CLO,3.320296,29.88266
192.168.0.14,192.168.0.1,53179,80,tcp,FIN,0,717.564636
192.168.0.24,223.39.118.176,37714,443,tcp,CON,47.471699,77.680962
192.168.0.1,192.168.0.23,,,arp,INT,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,232.092041,120.165405
192.168.0.1,192.168.0.25,,,arp,INT,0,0
192.168.0.16,192.168.0.13,49788,9010,tcp,RST,238.333572,309.833649
192.168.0.16,192.168.0.13,49789,9020,tcp,CON,58.043598,52.620842
48:4b:aa:ac:c2:1f,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.14,192.168.0.1,53180,80,tcp,FIN,0,768.212219
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
192.168.128.46,85.245.35.108,1188,53643,tcp,CON,0,0
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
172.217.25.99,192.168.0.14,443,49191,udp,REQ,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,274.019287,116.80822
192.168.0.16,210.103.251.72,49787,5223,tcp,CON,17.407652,17.407652
192.168.0.16,192.168.0.13,49789,9020,tcp,CON,60.064667,54.258415
192.168.0.14,192.168.0.1,53181,80,tcp,FIN,0,769.328064
192.168.0.13,224.0.0.251,5353,5353,udp,REQ,33.409618,0
105.48.35.152,173.76.72.117,,,ddp,INT,0,0
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
192.168.0.1,192.168.0.13,,,arp,INT,0,0
192.168.0.24,223.39.118.176,37714,443,tcp,FIN,29.624365,29.624365
223.39.118.176,192.168.0.23,443,37434,tcp,FIN,93.314049,0
192.168.0.13,3.0.230.212,33397,8820,tcp,CON,10.730189,0
192.168.0.13,192.168.0.16,9020,49784,tcp,RST,322.670105,114.664566
192.168.0.13,192.168.224.23,20632,53368,tcp,CON,0,0
192.168.0.23,224.0.0.251,5353,5353,udp,REQ,13.142562,0
192.168.0.14,192.168.0.1,53182,80,tcp,FIN,0,764.183228
192.168.0.16,192.168.0.13,49789,9020,tcp,CON,60.092529,60.697487
192.169.0.16,192.172.0.76,49784,9020,tcp,CON,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.23,223.39.118.176,37476,443,tcp,CLO,0,3.619433
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,748.342957,1389.779785
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,0.978503,0
192.168.0.16,13.228.245.106,57213,80,tcp,FIN,9.901872,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.13,192.168.0.16,9064,62584,tcp,CON,0,0
192.168.0.24,163.152.1.1,64011,53,udp,CON,0,0
192.168.0.24,104.70.122.58,50966,443,tcp,RST,181.848694,315.612396
192.168.0.24,223.39.123.245,38073,7000,tcp,FIN,72.768555,81.500778
192.168.0.24,223.39.118.176,41716,443,tcp,CON,25.006536,20.459894
104.70.122.58,58.161.142.146,21901,50966,tcp,CON,0,0
104.70.122.58,192.168.0.24,443,50985,tcp,CON,0,0
04:32:f4:45:17:b3,88:36:6c:d7:1c:56,,,ip,INT,0,0
104.70.122.58,192.168.0.24,443,51025,tcp,CON,0,0
04:32:f4:45:17:b3,88:36:6c:d7:1c:56,,,unknown,INT,0,0
192.168.128.46,85.165.82.201,,,iatp,INT,0,0
172.217.25.110,192.168.0.24,80,51063,tcp,FIN,0,0
192.168.0.1,192.168.0.24,,,arp,CON,0,0
192.168.0.14,192.168.0.1,53183,80,tcp,FIN,0,809.923706
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,267.45993,122.434517
192.168.0.24,223.39.118.176,43457,443,tcp,CON,35.641476,32.077328
192.168.0.16,192.168.0.13,49789,9020,tcp,CON,61.00943,56.008659
192.168.0.24,223.39.123.191,39486,443,tcp,CON,54.166111,39.393536
13.228.233.32,192.168.0.13,6000,47501,udp,CON,0,0
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,0,0
192.168.0.23,223.39.118.176,37476,443,tcp,CLO,0,0
223.39.123.194,192.168.0.24,8281,47192,tcp,CON,0,0
192.168.0.1,224.0.0.1,,,igmp,INT,2031.487915,0
192.168.0.13,239.255.255.250,,,igmp,REQ,0,0
192.168.0.13,224.0.0.251,,,igmp,REQ,0,0
192.168.0.16,224.0.0.251,,,igmp,INT,0,0
192.168.0.228,131.109.28.164,28327,14652,tcp,CON,0,0
97.186.0.16,192.168.0.13,,,unas,INT,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.13,192.168.0.16,,,tcp,INT,0,0
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.14,192.168.0.1,53184,80,tcp,FIN,0,893.592407
192.40.16.1,104.168.0.6,49248,51139,tcp,CON,0,0
198.252.206.25,192.168.0.14,443,52650,tcp,CON,0,0
192.168.0.13,248.250.217.216,49420,49789,tcp,CON,0,0
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,283.772491,120.042175
192.168.0.24,223.39.118.149,46124,443,tcp,FIN,14.601631,17.035236
192.168.0.16,192.168.0.13,49789,9020,tcp,RST,61.08815,64.499161
192.168.0.24,223.39.118.176,38188,443,tcp,CON,12.838544,10.504263
192.168.0.24,223.39.118.176,47361,443,tcp,CON,6.178144,2.471258
192.168.0.24,223.39.118.149,48416,443,tcp,RST,0,0
192.168.0.24,223.39.118.149,56386,443,tcp,RST,0,0
192.168.0.24,223.39.123.191,39486,443,tcp,FIN,0,0
192.168.0.24,223.39.118.149,35253,443,tcp,RST,0,0
192.168.0.24,223.39.118.149,53761,443,tcp,RST,0,0
192.168.0.24,223.39.118.149,54374,443,tcp,FIN,39.860489,46.503902
192.168.0.24,223.39.118.176,38127,443,tcp,CON,44.460556,30.780384
192.168.0.16,23.23.161.173,57215,443,tcp,RST,15.429241,56.573887
192.168.0.24,223.39.118.149,51762,443,tcp,FIN,41.00013,47.833485
192.168.0.23,13.209.102.114,48498,443,tcp,CON,0,0
192.168.0.23,13.209.102.114,48496,443,tcp,CON,0,0
192.168.0.23,13.209.102.114,48500,443,tcp,CON,0,0
192.168.0.24,223.39.118.176,56401,443,tcp,CON,37.618416,47.877983
192.168.0.24,223.39.118.176,35104,443,tcp,CON,10.528361,10.528361
192.168.0.24,223.39.118.149,59073,443,tcp,FIN,41.146336,48.004059
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,9.703717,1.940743
192.168.0.24,223.39.118.176,58102,443,tcp,CON,28.686996,36.510723
192.168.0.24,223.39.118.176,56625,443,tcp,CON,14.347951,18.261028
192.168.0.24,223.39.118.176,50866,443,tcp,CON,17.283178,18.854376
192.168.0.14,192.168.0.1,53185,80,tcp,FIN,0,909.860718
192.168.0.23,223.39.118.176,37476,443,tcp,CLO,3.380497,10.14149
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
192.168.0.23,223.39.118.176,37478,443,tcp,CLO,6.960493,41.762955
192.168.0.24,223.39.118.176,53177,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,47527,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,33782,443,tcp,RST,0,0
192.232.0.23,223.39.118.176,37446,443,tcp,CON,0,0
192.168.0.13,192.168.0.16,,,leaf-1,INT,0,0
192.168.0.24,223.39.118.176,38612,443,tcp,RST,0,0
209.84.51.23,88.55.80.41,,,iatp,INT,0,0
192.168.0.24,223.39.118.176,41716,443,tcp,CON,25.096622,0
48:4b:aa:2c:d8:f9,bc:1c:81:4b:ae:ba,,,unknown,INT,0,0
192.168.0.24,223.39.118.176,53692,443,tcp,RST,0,0
192.168.0.24,104.70.122.58,50966,443,tcp,CON,77.938522,1169.077881
192.168.0.24,223.39.118.176,35410,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,60498,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,38322,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,34007,443,tcp,RST,0,0
192.168.0.16,192.168.0.13,49790,9010,tcp,RST,198.798035,168.213715
192.168.0.24,223.39.118.176,37092,443,tcp,RST,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,257.401276,109.400543
192.168.0.24,223.39.118.176,37714,443,tcp,RST,0,0
192.168.0.24,223.39.118.176,43457,443,tcp,FIN,33.11697,99.350906
192.168.0.14,192.168.0.1,53186,80,tcp,FIN,0,768.311401
192.168.0.23,13.209.102.114,48496,443,tcp,FIN,0,329.489288
192.168.0.23,13.209.102.114,48498,443,tcp,FIN,0,7.844552
192.168.0.23,13.209.102.114,48500,443,tcp,FIN,0,7.778227
88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,,,unknown,INT,0,0
192.168.0.1,192.168.0.16,,,arp,CON,0,0
163.152.1.1,192.168.0.14,53,49893,udp,INT,0,0
192.168.0.14,17.248.161.108,53187,443,tcp,FIN,0,6.560403
192.168.0.24,223.39.118.176,33685,443,tcp,CON,44.35788,36.292812
108.177.125.188,192.168.0.23,5228,44974,tcp,CON,8.931044,0
192.168.0.23,223.39.118.176,37476,443,tcp,CLO,0,0
192.168.0.23,54.180.57.16,55372,443,tcp,FIN,0,1232.336548
192.168.0.16,192.168.0.1,,,arp,CON,0,0
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,242.814224,114.206688
192.168.0.23,224.0.0.251,5353,5353,udp,REQ,15.374208,0
192.168.0.14,192.168.0.1,53188,80,tcp,FIN,0,750.449768
74.125.203.189,192.168.0.14,443,62988,udp,REQ,0,0
192.168.0.23,163.152.1.1,50736,53,udp,INT,0,0
163.152.11.6,192.168.0.23,53,55528,udp,INT,0,0
192.168.0.1,192.168.0.23,,,arp,RSP,0,0
192.168.0.24,223.39.118.176,38127,443,tcp,FIN,29.136681,29.136681
192.168.0.24,223.39.118.176,38188,443,tcp,FIN,27.597626,27.597626
108.177.97.189,192.168.0.14,443,50510,udp,REQ,0,0
192.168.0.24,223.39.118.176,56401,443,tcp,FIN,25.117424,25.117424
192.168.0.24,223.39.118.176,58102,443,tcp,FIN,31.337156,31.337156
192.168.0.24,223.39.118.176,47361,443,tcp,FIN,26.058632,52.117264
192.168.0.13,192.168.0.1,0x0008,0x014d,icmp,ECO,0,0
192.168.0.23,223.39.118.176,37478,443,tcp,FIN,0,70.254318
192.168.0.24,223.39.118.176,35104,443,tcp,FIN,72.280449,72.280449
192.168.0.24,223.39.118.176,50866,443,tcp,FIN,29.234638,29.234638
192.168.0.24,223.39.118.176,56625,443,tcp,FIN,26.40473,26.40473
192.168.0.13,192.168.128.233,48700,49784,tcp,CON,0,0
172.217.26.37,192.168.0.14,443,53122,tcp,CON,0,0
192.168.0.14,192.168.0.1,53189,80,tcp,FIN,0,789.872375
192.168.0.13,192.168.0.16,9020,49784,tcp,FIN,212.711212,118.619675
192.168.0.24,104.70.122.58,50966,443,tcp,CON,21.821674,0
192.168.0.13,192.168.0.16,9020,63096,tcp,CON,0,0
192.168.0.24,223.39.118.176,33685,443,tcp,FIN,25.606228,25.606228
192.168.0.23,223.39.118.176,37476,443,tcp,FIN,0,190.78508
192.168.0.13,192.168.0.240,65033,9231,tcp,RST,0,0
192.168.0.14,192.168.0.1,53190,80,tcp,FIN,0,831.756409
