SrcAddr,DstAddr,SrcMac,DstMac,Sport,Dport,State,Proto,SrcRate,DstRate
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37762,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37052,80,sSE,tcp,0,0
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53772,80,sSEfFR,tcp,0.506499,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54166,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,33810,80,sSE,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54380,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37516,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52562,80,sSE,tcp,21276.5957,10638.29785
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53712,80,sSE,tcp,495.0495,247.52475
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35624,80,sSE,tcp,19047.61914,9523.80957
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52862,80,sSE,tcp,23529.41211,11764.70606
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34448,80,sSE,tcp,16949.15234,8474.576172
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53750,80,sSEfFR,tcp,0.506524,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35954,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37634,80,sSE,tcp,17543.85938,8771.929688
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54852,80,sSEfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56468,80,sSEfFR,tcp,0.442012,0
192.168.100.3,52.64.239.193,00:50:56:be:26:db,00:50:56:be:b5:f6,41307,8883,E,tcp,0.200109,0.200109
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53376,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,32870,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52030,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53910,80,sSE,tcp,440.011719,293.341156
192.168.100.3,52.35.21.241,00:50:56:be:26:db,00:50:56:be:b5:f6,51177,443,sSE,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54068,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36672,80,sSEfFR,tcp,0,0
192.168.100.3,192.168.100.147,00:50:56:be:26:db,00:50:56:be:89:ee,80,51640,EfF,tcp,0,0
192.168.100.5,192.168.100.3,ae:bb:10:44:55:60,fa:cb:34:12:44:59,,,E,tcp,48.006977,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,33312,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56058,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,39188,80,sSEfFR,tcp,6.131349,4.598512
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38718,80,sSE,tcp,1.958735,0.244842
192.168.100.7,192.168.100.148,00:50:56:be:26:d4,00:50:56:be:bf:1a,80,60942,SECR,tcp,0,0.416062
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54352,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36460,80,sSE,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55422,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52960,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55644,80,sSEfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55226,80,sSE,tcp,3325.942383,2217.294922
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,54414,80,sSE,tcp,23809.52344,11904.76172
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38578,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36832,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35812,80,sSE,tcp,0.224871,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56212,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34894,80,sSE,tcp,16260.16211,8130.081055
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54730,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38040,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34798,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38482,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37128,80,sSE,tcp,17094.01758,8547.008789
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54652,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,33024,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,37306,80,R,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38318,80,sSE,tcp,16129.03223,8064.516113
192.168.100.46,192.168.100.5,be:ff:34:42:10:01,ae:bb:10:44:55:60,3456,80,CON,udp,79.994164,79.994164
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38138,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53408,80,sSER,tcp,1.875466,0.937733
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55114,80,sSEfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52506,80,sSE,tcp,0,0
192.168.100.46,192.168.100.5,be:ff:34:42:10:01,ae:bb:10:44:55:60,80,80,REQ,udp,79.963799,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56494,80,sSE,tcp,1.583475,1.05565
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,60174,80,R,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35566,80,sSE,tcp,0.746882,0.497922
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56660,80,sSE,tcp,608.272522,304.136261
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55338,80,sSE,tcp,6688.962891,3344.481445
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53224,80,sSEfFR,tcp,18.885742,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36290,80,sSEfF,tcp,0,0
192.168.100.6,192.168.100.3,bb:aa:cc:98:55:43,fa:cb:34:12:44:59,80,80,E,tcp,27.038279,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52776,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35212,80,sSE,tcp,16949.15234,8474.576172
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55106,80,sSE,tcp,14084.50684,9389.670898
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,54022,80,sSER,tcp,45.850525,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53876,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,60096,80,R,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56574,80,sSER,tcp,0.936915,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38450,80,sSE,tcp,1.960278,1.306852
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38828,80,sSE,tcp,16806.72266,8403.361328
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52854,80,sSEfF,tcp,0,0
192.168.100.3,205.251.195.97,00:50:56:be:26:db,00:50:56:be:b5:f6,47762,53,CON,udp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53800,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34878,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53682,80,sSEfFR,tcp,0.5036,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55790,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,32818,80,sSE,tcp,17391.30469,8695.652344
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56024,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52972,80,sSE,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54154,80,sSEfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54124,80,sSE,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54520,80,sSEfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54400,80,sSE,tcp,25974.02734,12987.01367
192.168.100.3,192.168.100.147,00:50:56:be:26:db,00:50:56:be:89:ee,80,51582,EfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36280,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34996,80,sSE,tcp,43.071888,43.071888
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35366,80,R,tcp,0,0
192.168.100.148,192.168.100.3,00:50:56:be:bf:1a,00:50:56:be:26:db,53692,80,sSE,tcp,76.456497,50.971001
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,60544,80,E,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55506,80,sSEfFR,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34380,80,sSE,tcp,3.041433,2.027622
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,56076,80,sSE,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,33524,80,sSE,tcp,2.521044,1.680696
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53524,80,sSE,tcp,25641.02734,12820.51367
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54330,80,sSE,tcp,24390.24414,12195.12207
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,55114,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34792,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,35426,80,R,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52442,80,sSE,tcp,3.612243,2.408162
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,38788,80,sSE,tcp,19230.76953,9615.384766
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,36676,80,sSE,tcp,0,0
192.168.100.3,192.168.100.147,00:50:56:be:26:db,00:50:56:be:89:ee,80,51672,EfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54718,80,sSE,tcp,24390.24414,12195.12207
192.168.100.7,192.168.100.148,00:50:56:be:26:d4,00:50:56:be:bf:1a,80,60732,EfFR,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52664,80,sSEfF,tcp,0,0
192.168.100.148,192.168.100.7,00:50:56:be:bf:1a,00:50:56:be:26:d4,34496,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,52712,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,54202,80,sSEfF,tcp,0,0
192.168.100.147,192.168.100.3,00:50:56:be:89:ee,00:50:56:be:26:db,53422,80,sSE,tcp,0,0
192.168.100.55,192.168.100.3,ff:ea:24:21:12:13,fa:cb:34:12:44:59,8080,80,E,tcp,79.980469,79.980469
